original_title,generated_title
Local Patch Encoding-Based Method for Single Image Super-Resolution,['Super-Resolution Using Local Patch Encoding']
"Robustness from structure: Inference with hierarchical spiking networks
  on analog neuromorphic hardware",['Robustness of spiking networks for probabilistic inference on neuromorphic silicon circuits']
"Precision cosmology from future lensed gravitational wave and
  electromagnetic signals",['Gravitational wave cosmography with ground-based detectors']
Canvas and Cosmos: Visual Art Techniques Applied to Astronomy Data,['Visual Art for Research Astronomy: From Black and White Images to Research Publications']
Jacobi polynomials on the Bernstein ellipse,['Jacobi polynomials on the Bernstein ellipse']
"Poisson multi-Bernoulli mixture filter: direct derivation and
  implementation",['Poisson multi-Bernoulli mixture filter for multi-target tracking']
Features in single field slow-roll inflation,['Effects of Local and Branch Features on the Spectrum of Primordial Perturbations']
Bayesian Optimization with Gradients,['Derivative-Enabled Knowledge Gradient for Global Bayesian Optimization']
Extremal Behavior of Long-Term Investors with Power Utility,['Long-term behavior of optimal strategies in Bayesian markets with power utility']
"A Lagrangian Gauss-Newton-Krylov Solver for Mass- and
  Intensity-Preserving Diffeomorphic Image Registration",['Efficient Optimal Control for Large Deformations Diffeomorphic Image Registration']
Cyclic contractions of dimer algebras always exist,['Cancellation of dimer algebras']
"Social Fingerprinting: detection of spambot groups through DNA-inspired
  behavioral modeling",['Social Fingerprinting: Spambot Detection via DNA Analysis of Collective Behaviors']
Multi-Patch and Multi-Group Epidemic Models: A New Framework,['Multi-Patch and Multi-Group Modeling of Epidemic Dynamics: A Lagrangian Approach']
"Fully Convolutional Neural Networks to Detect Clinical Dermoscopic
  Features",['Superpixels for Dermoscopic Feature Classification: A Segmentation Approach']
Space-time CFTs from the Riemann sphere,['Anomalies and Vertex Operators in Two-Dimensional CFTs']
Polytropic spheres containing regions of trapped null geodesics,['Polytropic spheres with region of trapped null geodesics in general relativity']
"Adaptive Restart of the Optimized Gradient Method for Convex
  Optimization",['Heuristic Acceleration of the Optimized Gradient Method']
A Noninformative Prior on a Space of Distribution Functions,['Invariant priors and optimal Bayesian analysis']
"On Convergence of Extended Dynamic Mode Decomposition to the Koopman
  Operator",['Convergence of Extended Dynamic Mode Decomposition to the Koopman Operator']
"Tracking Gaze and Visual Focus of Attention of People Involved in Social
  Interaction",['Tracking gaze and visual focus of attention in multi-party social interactions']
"Task allocation and site fidelity jointly influence foraging regulation
  in honey bee colonies",['Joint impact of colony-level task distribution and behavioral persistence on the trade-off between exploring for new resources and exploiting familiar ones']
Thermotronics: toward nanocircuits to manage radiative heat flux,['Heat flux control in complex architecture networks']
"Visual end-effector tracking using a 3D model-aided particle filter for
  humanoid robot platforms",['Bayesian End-Effect Estimation for Closed-Loop Reaching']
"Waveform measurement of charge- and spin-density wave packets in a
  Tomonaga-Luttinger liquid",['Waveforms of charge and spin excitations in a Tomonaga-Luttinger liquid']
"Infinitely many excluded minors for frame matroids and for
  lifted-graphic matroids",['Excluded minors for frame and lifted-graphic matroids']
Power sums in hyperbolic Pascal triangles,['Power sums of rows in hyperbolic Pascal triangles']
"Equilibrated flux a posteriori error estimates in $L^2(H^1)$-norms for
  high-order discretizations of parabolic problems",['A posteriori error estimates for finite element methods based on discontinuous Galerkin methods']
Neural Programming by Example,['Neural Programming by Example: Inducing Computer Programs from Strings']
"On the Importance of Super-Gaussian Speech Priors for Machine-Learning
  Based Speech Enhancement",['Super-Gaussian Speech Priors for Machine-Learning Spectral Envelope-Based Speech Enhancement']
Fonduer: Knowledge Base Construction from Richly Formatted Data,['Fonduer: Knowledge Base Construction from Richly Formatted Data']
A Motif-based Approach for Identifying Controversy,['Detecting Controversy in Social Media by Exploiting Network Motifs']
"Analytical Model of One-Dimensional Ballistic Schottky-Barrier
  Transistors",['Analytical model for Schottky-Barrier ballistic transistors']
"Multi-fluid Approach to High-frequency Waves in Plasmas. II.
  Small-amplitude Regime in Partially Ionized Media","[""Damping of Alfv'en waves by momentum transfer collisions in partially ionized plasmas""]"
"Automatic skin lesion segmentation with fully
  convolutional-deconvolutional networks",['Results from the ISBI Challenge 2017 - Skin Lesion Analysis Towards Melanoma Detection - Part II: Lesion Segmentation']
"The Faa di Bruno Hopf algebra for multivariable feedback recursions in
  the center problem for higher order Abel equations","[""Generalized Feedback Control and Combinatorial Hopf Algebras for Poincare's Center Problem""]"
"A distributed primal-dual algorithm for computation of generalized Nash
  equilibria with shared affine coupling constraints via operator splitting
  methods",['Distributed Primal-Dual Generalized Nash Equilibria for Network Noncooperative Games']
"Uniqueness and Nondegeneracy of positive solutions to Kirchhoff
  equations and its applications in singular perturbation problems",['Uniqueness and nondegeneracy of solutions to Kirchhoff equations with singular perturbations']
"Stabilizing switching signals: a transition from point-wise to
  asymptotic conditions",['Stabilizing Switching Signals: A Unified Approach']
"Approximation of full-boundary data from partial-boundary electrode
  measurements",['Approximate Full-Boundary Data from Partial-Boundary Measurements']
Anisotropic-Scale Junction Detection and Matching for Indoor Images,['Anisotropic-Scale Junctions for Indoor Image Matching']
"Graphene photodetectors with a bandwidth larger than 76 GHz fabricated
  in a 6 inch wafer process line",['Scalable ultrafast graphene photodetectors']
"Low-rank computation of posterior covariance matrices in Bayesian
  inverse problems",['Low-rank in time approximation of the posterior covariance matrix for Bayesian inverse problems']
"Newly-Discovered Anomalies in Galactic Cosmic Rays: Time for Exotic
  Scenarios?",['Anomalies in Galactic Cosmic Rays']
Proceedings 2nd Workshop on Models for Formal Analysis of Real Systems,['Proceedings 2nd Workshop on Models for Formal Analysis of Real Systems']
"Mitochondrial oxidative phosphorylation: Debunking the concepts of
  electron transport chain, proton pumps, chemiosmosis and rotary ATP synthesis",['Debunking hypotheses that explain mitochondrial oxidative phosphorylation']
"Equivariant prequantization bundles on the space of connections and
  characteristic classes",['Equivariant prequantization bundles and characteristic classes']
Some non-special cubic fourfolds,['On the Noether-Lefschetz divisor in cubic fourfolds']
Symbolic computation with monotone operators,['Symbolic computation of Fenchel conjugates via monotone operators']
Spin Angular Momentum of Proton Spin Puzzle in Complex Octonion Spaces,['Spin Angular Momentum of the Proton']
"Clustering-based collocation for uncertainty propagation with
  multivariate dependent inputs",['Gaussian quadrature for uncertainty propagation with multivariate dependent inputs']
A fresh look at the determination of |V_cb| from B-> D^* l nu,['Determining $|V_cb|$ from Belle $barB0rightarrow D*+l-barnu_l$']
"On the Minimization of Convex Functionals of Probability Distributions
  Under Band Constraints",['Numerical algorithms for minimizing convex functionals of probability distributions']
Inference via low-dimensional couplings,['Sparse and Decomposable Transport Maps for High-Dimensional Inference']
Scaling of Relativistic Shear Flows with Bulk Lorentz Factor,['Scaling of Relativistic Electron-Ion Shear Boundary Layer with Bulk Lorentz Factor']
"Well-posedness of the non-local conservation law by stochastic
  perturbation",['Stochastic non-local conservation law equations with discontinuous fluxes']
"Accuracy Directly Controlled Fast Direct Solutions of General ${\cal
  H}^2$-Matrices and Its Application to Electrically Large
  Integral-Equation-Based Electromagnetic Analysis",['Accuracy-Controlled Direct Solutions of General $cal H2$-Matrices']
On Consistency of Graph-based Semi-supervised Learning,['On the Consistency of Graph-based Semi-supervised Learning']
"Deep Decentralized Multi-task Multi-Agent Reinforcement Learning under
  Partial Observability",['Decentralized Multi-task Multi-Agent Reinforcement Learning under Partial Observability']
Cooperating with Machines,['Learning to Cooperate with Machines in Stochastic Games']
"Numerical Simulations of the Evolution of Solar Active Regions: the
  Complex AR12565 and AR12567",['Numerical Simulations of Two Closed Active Regions']
Rediscovery Datasets: Connecting Duplicate Reports,['Exploring the Inter-Relationships among Duplicate Defect Reports in Open Source Software']
"Stability for hyperplane complements of type B/C and statistics on
  squarefree polynomials over finite fields",['Asymptotic Stability of Squarefree Polynomials over Finite Fields and the Grothendieck Trace Formula']
Election Predictions as Martingales: An Arbitrage Approach,['Arbitrage Pricing of Election Results']
"Building a Disciplinary, World-Wide Data Infrastructure",['Towards a Culture of Sharing Scientific Data']
"Algorithms for Semantic Segmentation of Multispectral Remote Sensing
  Imagery using Deep Learning",['Initialization of a Deep Convolutional Neural Network for Multispectral Imagery Segmentation']
"Existence and uniqueness of steady weak solutions to the Navier-Stokes
  equations in $\mathbb{R}^2$",['Approximate Weak Solutions to the Navier-Stokes Equations in $mathbbR2$']
Reconstruction of $\alpha$-attractor supergravity models of inflation,['Reconstruction of $alpha$-attractor inflationary potential parameters and constraint on the postaccelerated phase']
"Acceleration of Convergence of Some Infinite Sequences
  $\boldsymbol{\{A_n\}}$ Whose Asymptotic Expansions Involve Fractional Powers
  of $\boldsymbol{n}$ via the $\tilde{d}^{(m)}$ transformation",['Accelerating Floating-Point Arithmetic with the Recursive W-Algorithm']
Image denoising by median filter in wavelet domain,['Image de-noising based on median filter in the wavelet domain']
Distinct stick-slip modes in adhesive polymer interfaces,['Stick-slip waves in adhesive polymer interfaces']
Fractal Weyl laws and wave decay for general trapping,['Weyl upper bound for scattering resonances in strips']
"Proceedings International Workshop on Formal Engineering approaches to
  Software Components and Architectures",['Proceedings 14th International Workshop on Formal Engineering approaches to Software Components and Architectures']
A barotropic model of eddy saturation,['Minimal Requirement for Barotropic Eddy Saturation']
Asymptotic performance of PCA for high-dimensional heteroscedastic data,['On the Asymptotic Performance of PCA for High-Dimensional and Heteroscedastic Data']
Power Beacon-Assisted Millimeter Wave Ad Hoc Networks,['A Tractable Model for Power Beacon-Assisted Millimeter Wave Wireless Ad Hoc Networks']
Random Walk Among Mobile/Immobile Traps: A Short Review,['Random walks among mobile immobile traps']
"Verifying thermodynamic equilibrium of molecular manifolds:
  Kennard-Stepanov spectroscopy of a molecular gas",['Kennard-Stepanov Scaling of Absorption and Emission in Molecular Dimers']
A KiDS weak lensing analysis of assembly bias in GAMA galaxy groups,['KiDS weak lensing as a probe of halo assembly bias in GAMA galaxy groups']
The Onsager--Machlup functional for data assimilation,['Onsager--Machlup Prior Distribution for Discrete-Time Estimation']
"Measuring ionizing radiation in the atmosphere with a new balloon-borne
  detector",['A miniature scintillator-based gamma-ray detector for use on meteorological radiosondes']
Graph-Variate Signal Analysis,['Graphvariate Dynamic Connectivity']
"Replacing Nothing with Something Special: Contextuality-by-Default and
  Dummy Measurements",['Dummy Random Variables for Contextuality Analysis']
Process algebra with strategic interleaving,['An Extension of ACP with the Late Form of Interleaving']
Energy Efficient Non-Cooperative Power Control in Small Cell Networks,['Distributed Energy Efficient Power Control in Self-Organizing Small Cell Networks']
"Symmetries and conservation laws of a nonlinear sigma model with
  gravitino",['Geometry of the nonlinear sigma model with gravitino']
Real double flag varieties for the symplectic group,['Double flag varieties associated with real symplectic groups']
"The SK model is infinite step replica symmetry breaking at zero
  temperature",['On the Parisi measure of the mixed p-spin model at zero temperature']
A Comparison of deep learning methods for environmental sound,['A Comparison of Deep Learning Models for Environmental Sound Detection on the IEEE DCASE 2016 Task and Data']
Exponential sums over finite fields and the large sieve,['Zero-density estimates for $ell$-adic trace functions over finite fields']
"Transition in a numerical model of contact line dynamics and forced
  dewetting",['Dynamic simulation of a Landau-Levich-Derjaguin film in forced dewetting']
Pseudorehearsal in value function approximation,['Pseudorehearsal for Q-learning in pole balancing']
Fog Computing for Sustainable Smart Cities: A Survey,['Fog Computing for Sustainable Smart Cities: A Survey']
Impulse response of the Bayreuth Festspielhaus,['Impulse response of the Bayreuth Festspielhaus']
Cold ion chemistry,['Laboratory studies of low-temperature ion-molecule reactions']
"Initial-boundary value problems for fractional diffusion equations with
  time-dependent coeffcients",['Initial-boundary value problems for a fractional diffusion equation with Caputo time-fractional derivative']
"Exact Time-Dependent Solution to the Three-Dimensional Euler- Helmholtz
  and Riemann-Hopf Equations for Vortex Flow of a Compressible Medium and the
  Sixth Millennium Prize Problem",['Exact vortex solution of the three-dimensional Euler-Helmholtz and Riemann-Hopf equations for an ideal compressible medium']
"Optimal lower exponent for the higher gradient integrability of
  solutions to two-phase elliptic equations in two dimensions",['Optimal lower exponents for the higher gradient integrability of solutions to two-dimensional elliptic equations']
"Gaussian-Mixture-Model-based Cluster Analysis Finds Five Kinds of Gamma
  Ray Bursts in the BATSE Catalog","['Gamma Ray Bursts: Clustering, Variables and Characterization']"
"Mathematical Model with Autoregressive Process for Electrocardiogram
  Signals",['Mathematical Model with Autoregressive Process to Model Electrocardiogram Signals']
"Observation of robust flat-band localization in driven photonic rhombic
  lattices",['Robust Localization of Flat-band States in a Quasi-One-dimensional Rhombic Lattice']
"Can Attackers with Limited Information Exploit Historical Data to Mount
  Successful False Data Injection Attacks on Power Systems?",['Physical Consequences of Unobservable False Data Injection Attacks']
"On the fundamental solution and a variational formulation of a
  degenerate diffusion of Kolmogorov type",['Variational schemes for degenerate diffusions of Kolmogorov type']
"Linear feedback stabilization of point vortex equilibria near a Kasper
  Wing",['Linear feedback stabilization of point-vortex equilibria above a Kasper Wing']
"WannierTools: An open-source software package for novel topological
  materials",['WannierTools: a tool for novel topological materials']
"Convergence Properties of Dynamic String Averaging Projection Methods in
  the Presence of Perturbations",['Convergence of Dynamic String Averaging Projection Methods with Perturbations']
R-C3D: Region Convolutional 3D Network for Temporal Activity Detection,['R-C3D: Region Convolutional 3D Networks for Video Activity Detection']
"Burling graphs, chromatic number, and orthogonal tree-decompositions",['Tree-decompositions and the chromatic number of triangle-free graphs']
"Minimum Cuts and Shortest Cycles in Directed Planar Graphs via
  Noncrossing Shortest Paths",['Shortest Paths and Minimum Cuts in Directed Planar Graphs']
Emergent Higgsless Superconductivity,['Anyon-Inspired Higgsless Superconductivity']
"MSE estimates for multitaper spectral estimation and off-grid
  compressive sensing",['On the Mean Squared Error of Multitaper Spectral Estimation and Compressive Acquisition']
"Energy Spectra of Abundant Cosmic-ray Nuclei in Sources, According to
  the ATIC Experiment",['Back-propagation of the ATIC energy spectra in sources']
Are crossing dependencies really scarce?,['On the number of edge crossings in real sentences']
Empirical study on social groups in pedestrian evacuation dynamics,['The impact of social groups on pedestrian evacuations']
"Sign changing solutions of p-fractional equations with concave-convex
  nonlinearities",['Sign changing solutions for p-fractional equations with concave-critical nonlinearities']
"The stability of tightly-packed, evenly-spaced systems of Earth-mass
  planets orbiting a Sun-like star",['On the stability of isolated Earth-mass multi-planet systems']
Medical Image Retrieval using Deep Convolutional Neural Network,['Deep Convolutional Neural Networks for Content Based Medical Image Retrieval']
"Interactive Natural Language Acquisition in a Multi-modal Recurrent
  Neural Architecture",['Neurocognitively plausible model for embodied language acquisition from humanoid robot']
"Biconservative submanifolds in $\mathbb{S}^{n}\times \mathbb{R}$ and
  $\mathbb{H}^{n}\times \mathbb{R}$",['Biconservative submanifolds with parallel mean curvature vector field in $mathbbSntimes mathbbR$ and $mathbbHntimes mathbbR$']
"The Effects of Inequality, Density, and Heterogeneous Residential
  Preferences on Urban Displacement and Metropolitan Structure: An Agent-Based
  Model","['Agent-Based Model of Urban Displacement and Agglomeration in Rich, Promising Cities']"
Quantum mechanics from an epistemic state space,['Epistemic Quantum Mechanics']
"The new concepts of measurement error's regularities and effect
  characteristics","[""Interpretation of Error's Regularities and Effect Characteristics""]"
"Establishing correspondence between the reformulation of quantum
  mechanics without a potential function and the conventional formulation",['Reconstruction of the potential in quantum mechanics without a potential function']
"Fast-slow asymptotic for semi-analytical ignition criteria in
  FitzHugh-Nagumo system",['Initiation of excitation waves in the FitzHugh-Nagumo model']
"A variational conformational dynamics approach to the selection of
  collective variables in metadynamics",['Time-lagged independent component analysis for rare event analysis']
"Projectors separating spectra for $L^2$ on pseudounitary groups $U(p,q)$",['Projectors and separations of $L2$ on pseudo-unitary groups']
Einstein-Maxwell-axion theory: Dyon solution with regular electric field,['Dyons in Einstein-Maxwell-axion theory']
Witt differentials in the h-topology,['Sheaves of rational de Rham-Witt differentials']
On the geometry of orbifold Gromov-Witten invariants,['Geometric structures and Gromov-Witten invariants']
"Exact and approximate limit behaviour of the Yule tree's cophenetic
  index",['Heuristics for Simulating Pure-Borne Phylogenies']
"Thrust vectoring of an electric solar wind sail with a realistic sail
  shape",['Modeling the shape of a rotating electric solar wind sail for sail attitude maintenance and thrust vectoring']
Querying Log Data with Metric Temporal Logic (Technical Report),['DatalogMTL for Ontology-mediated Access to Temporal Log Data']
"PWLS-ULTRA: An Efficient Clustering and Learning-Based Approach for
  Low-Dose 3D CT Image Reconstruction",['PWLS-ULTRA: Efficient Regularized Weighted Least Squares for Low-Dose CT Images']
An analysis of the SPARSEVA estimate for the finite sample data case,['An Upper Bound for Sparse Regression Based on VAlidation Criteria']
Fast-slow asymptotics for a Markov chain model of fast sodium current,['Fast-slow asymptotics for a Markov chain model of cardiac excitability']
"AES and SNOW 3G are Feasible Choices for a 5G Phone from Energy
  Perspective",['Energy Requirements of AES and SNOW 3G for 5G Enabled Mobiles']
IoT-enabled Channel Selection Approach for WBANs,['Towards Secure Wireless Body Area Networking in the Internet of Things']
Polytopal realizations of finite type $\mathbf{g}$-vector fans,['Polytopality of vector fans']
"A geometric second-order-rectifiable stratification for closed subsets
  of Euclidean space",['Borel sets and second-order rectifiability']
Phase-dependent quantum interferences with three-level artificial atoms,['Phase dependence of the cavity quantum dynamics in a driven equidistant three-level ladder']
"The height of an $n$th-order fundamental rogue wave for the nonlinear
  Schr\""odinger equation","['Height of an $n$th-order fundamental rogue wave for the nonlinear Schr""odinger equation']"
"Science with the space-based interferometer LISA. V: Extreme mass-ratio
  inspirals",['Extreme-Mass-Ratio Inspirals with LISA: Astrophysical Uncertainties']
A Distributed Nash Equilibrium Seeking in Networked Graphical Games,['Nash Equilibrium Finding in Networked Games on Graphs']
Deep 6-DOF Tracking,['Deep 6-DOF Tracking']
A Framework for Evaluating Epidemic Forecasts,['A Framework for Evaluation of Epidemic Forecasts']
"On the origin of critical temperature enhancement in atomically-thin
  superconductors",['Enhanced superconductivity in monoatomic superconductors']
"Photonic thermal diode enabled by surface polariton coupling in
  nanostructures",['High rectification efficiency photonic thermal diodes based on coupled surface polariton modes in nanostructures']
"Survey of the State of the Art in Natural Language Generation: Core
  tasks, applications and evaluation",['A Survey of the State of the Art in Natural Language Generation']
"Structural composites for multifunctional applications: current
  challenges and future trends",['Fiber-Reinforced Composites for Structural Applications']
Geometric realizations of the accordion complex of a dissection,['Geometric realizations of the accordion complex of a reference dissection']
"Ultrabroadband single-cycle terahertz pulses with peak fields of 300 kV
  cm$^{-1}$ from a metallic spintronic emitter",['Broadband Terahertz Emission from Metallic Spintronic Stacks']
"Object categorization in finer levels requires higher spatial
  frequencies, and therefore takes longer",['Effect of Spatial Frequency Information on Object Categorization']
Data-driven model reduction and transfer operator approximation,['Data-Driven Dimension Reduction for Dynamical Systems']
"A Low-Mass Exoplanet Candidate Detected By ${\it K2}$ Transiting the
  Praesepe M Dwarf JS 183",['JS 183: A Neptune-sized Transiting Planet in the Praesepe Open Cluster']
Subatomic Proof Systems: Splittable Systems,['A Uniform Theory of Normalisation and Cut Elimination I: Splittable Systems']
KdV-like solitary waves in two-dimensional FPU-lattices,['Solitary waves in the KdV limit of two-dimensional FPU-type lattices']
"Born to Learn: the Inspiration, Progress, and Future of Evolved Plastic
  Artificial Neural Networks",['Evolved Plastic Artificial Neural Networks']
Actions of internal groupoids in the category of Leibniz algebras,['Internal groupoids in the category of Leibniz algebras']
Heteroclinic path to spatially localized chaos in pipe flow,['Heteroclinic connection and puff generation in pipe flow']
"Design of Soft Viterbi Algorithm Decoder Enhanced With Non-Transmittable
  Codewords for Storage Media",['Design of Soft Viterbi Algorithm Decoder Enhanced with Non-transmittable Codewords for Storage Media']
On avoidability of formulas with reversal,['Avoidability of Formulas with Reversal']
Sparse Signal Recovery via Generalized Entropy Functions Minimization,['Generalized Entropy Functions Minimization for Compressive Sensing']
The shape of node reliability,['Node Reliability of Coherent Set Systems']
"Prediction of SYMH and ASYH indices for geomagnetic storms of solar
  cycle 24 including recent St. Patrick's day, 2015 storm using NARX neural
  network",['Prediction of SYMH and ASYH indices during geomagnetic storms using Artificial Neural Network']
"User Interface Design Smell: Automatic Detection and Refactoring of Blob
  Listeners",['Detection and Refactoring of User Interface Design Smells in Event-driven Programming']
"Dual-LED-based multichannel microscopy for whole-slide multiplane,
  multispectral, and phase imaging","['Multichannel Microscopy for Whole-Slide Multiplane, Multispectral, and Phase Imaging']"
Sturm-Liouville Difference Equations Having Special Potentials,['A new approach for Sturm-Liouville problem with special potentials']
"A Survey on Mobile Edge Networks: Convergence of Computing, Caching and
  Communications",['Mobile Edge Networks: A Survey']
"Microscopic and macroscopic models for the onset and progression of
  Alzheimer's disease","[""A particle-based model for the onset and progression of Alzheimer's disease""]"
"Boundary regularity for conformally invariant variational problems with
  Neumann data",['Boundary regularity of critical maps with antisymmetric boundary potentials']
A note on the generalized heat content for L\'evy processes,"[""Heat content for L'evy processes""]"
Near-Optimal $\varepsilon$-Kernel Construction and Related Problems,"['Near-Optimal Computation of $varepsilon$-Kernel, Diameter, and Bichromatic Closest Pair']"
Evolution of Raman spectra in Mo$_{1-x}$W$_x$Te$_2$ alloys,['Polarization-Resolved Raman Spectroscopy of MoWTe$_2$ Alloys']
Prospects for observing extreme-mass-ratio inspirals with LISA,['Extreme Mass Ratio Inspirals with LISA']
BlockChain: A distributed solution to automotive security and privacy,['BlockChain: A Security Architecture for Smart Vehicular Systems']
"Small-signal model for 2D-material based field-effect transistors
  targeting radio-frequency applications: the importance of considering
  non-reciprocal capacitances",['Small-signal equivalent circuit of 2D-material based field-effect transistors']
A categorical approach to the maximum theorem,"[""Berge's Maximum Theorem in Double Categories""]"
"Effect of piezoelectric substrate on phonon-drag thermopower in
  monolayer graphene",['Phonon-drag thermopower in monolayer graphene on a piezoelectric substrate']
The Ramsey theory of the universal homogeneous triangle-free graph,['Universal homogeneous triangle-free graphs']
Crime Prediction by Data-Driven Green's Function method,"[""A self-exciting Green's function scheme for crime prediction""]"
"Lossy Asymptotic Equipartition Property For Geometric Networked Data
  Structures",['Generalized Asymptotic Equipartition Property of Networked Data Structures']
"Game Theory for Multi-Access Edge Computing: Survey, Use Cases, and
  Future Trends",['Game Theory for Edge Computing: A Survey']
"Spectroscopic signatures of different symmetries of the superconducting
  order parameter in metal-decorated graphene",['Enhanced superconductivity in graphene by $p+ip$-symmetric near-neighbor pairing']
Risk-averse model predictive control,['Risk-averse model predictive control for constrained nonlinear Markovian switching systems']
"On the Gevrey regularity for Sums of Squares of vector fields, study of
  some models",['Gevrey regularity of a class of sums of squares with real analytic coefficients']
"H-Atmospheres of Icy Super-Earths Formed in situ in the Outer Solar
  System: An Application to a Possible Planet Nine",['Massive H-rich Atmospheres of Icy Super-Earth Planets']
Shocking the Crowd: The Effect of Censorship Shocks on Chinese Wikipedia,['Shocking the Crowd: The Effect of Censorship Shocks on Collaborative Behavior']
Error bounds for monomial convexification in polynomial optimization,['Error bounds for monomial convexification']
Old and new approaches to the Sorites paradox,['Modeling the Sorites paradox']
Tracking random walks,['Optimal sampling frequency in random walks']
"A conservative sharp-interface method for compressible multi-material
  flows",['Conservative sharp-interface method for multi-material simulations of compressible fluids']
Dictionary-based Tensor Canonical Polyadic Decomposition,['Dictionary-based Tensor Canonical Polyadic Decomposition']
Impact of anthropogenic climate change on the East Asian summer monsoon,['Impact of anthropogenic climate change on the East Asian summer monsoon']
"EPR-entangled Bose-Einstein condensates in state-dependent potentials: a
  dynamical study",['Generation of non-local entanglement in bi-modal Bose-Einstein Condensates with spatial dynamics']
Faster Base64 Encoding and Decoding Using AVX2 Instructions,['Accelerated Base64 Encoding and Decoder']
Point Cloud Movement For Fully Lagrangian Meshfree Methods,['Lagrangian Meshfree Methods for Moving Points and Particles']
Multi-rendezvous Spacecraft Trajectory Optimization with Beam P-ACO,['Beam P-ACO: A Multi-objective Anytime Algorithm for Spacecraft Trajectories']
"A direct primitive variable recovery scheme for hyperbolic conservative
  equations: the case of relativistic hydrodynamics",['A Primitive Variable Recovery Scheme for Relativistic Hydrodynamics']
"A Branch-and-Bound Algorithm for Checkerboard Extraction in Camera-Laser
  Calibration",['Combinatorial Checkerboard Extraction for Calibration of Camera-to-Laser Calibration']
A Discrete-Time Attitude Observer on SO(3) for Vision and GPS Fusion,['Geometric Attitude Observer for Vision-Galaxy Fusion']
"Interacting With a Mobile Robot with a Natural Infrastructure-Less
  Interface",['Natural Interaction of Mobile Robot with a Smartwatch']
"On the in-situ detectability of Europa's water vapour plumes from a
  flyby mission","[""In-situ detection of water molecules from Europa's low mass flux plumes""]"
A note on Hurwitz's inequality,['Improved Hurwitz isoperimetric deficits']
Equidistribution of Phase Shifts in Obstacle Scattering,['Equidistribution of the phase shifts for billiards off convex obstacles']
Modelling and Filtering for Non-Markovian Quantum Systems,['An Augmented Markovian System Model for Non-Markovian Quantum Systems']
The best constants in the Multiple Khintchine Inequality,"['The best constants of the multiple Khintchine inequality and the mixed $left( ell_fracpp-1, ell_2right) $-Littlewood inequality']"
ME R-CNN: Multi-Expert R-CNN for Object Detection,['Multi-Expert Region-based Convolutional Neural Networks']
"Multi-filter transit observations of HAT-P-3b and TrES-3b with multiple
  Northern Hemisphere telescopes",['Photometric follow-up of transiting exoplanets HAT-P-3b and TrES-3b in the Northern Hemisphere']
"Discontinuity Induced Hopf and Neimark-Sacker Bifurcations in a
  Memristive Murali-Lakshmanan-Chua Circuit",['Hopf and Neimark-Sacker bifurcations in a memristive Murali-Lakshmanan-Chua circuit']
"Combinatorial Entropy Power Inequalities: A Preliminary Study of the
  Stam region",['Fractionally superadditive set functions and the Stam region']
"Structure of locally conformally symplectic Lie algebras and
  solvmanifolds",['Locally conformally symplectic Lie algebras']
Smoothing and filtering with a class of outer measures,['Smoothing and filtering with a generalised representation of uncertainty']
"Examples of plane rational curves with two Galois points in positive
  characteristic",['Plane rational curves with two Galois points in positive characteristic']
Quantization of Fields and Automorphic Representations,['Automorphic Representations of Some Concrete Series of Groups via Geometric Langlands Correspondence']
"Observation of forbidden phonons and dark excitons by resonance Raman
  scattering in few-layer WS$_2$",['Excitonic resonant Raman scattering in two-dimensional WS$_2$']
Measurement Device Independent Quantum Dialogue,['Measurement Device Independent Quantum Dialogue']
On deformations of $1$-motives,['Infinitesimal deformations of $1$-motives']
"Applications of position-based coding to classical communication over
  quantum channels",['Entanglement-assisted classical communication over quantum channels']
The UMCD Dataset,['The UMCD Dataset: Low-Altitude Video Sequences for Mosaicking and Change Detection']
"Detecting confounding in multivariate linear models via spectral
  analysis",['Estimating confounding in a model with dependent variables']
Orbital degeneracy loci and applications,['Orbital degeneracy loci of vector bundles']
"On stochastic modified 3d navier-stokes equations with anisotropic
  viscosity",['Global existence and uniqueness of solutions to the Navier-Stokes equations with random anisotropic viscosity and Brinkman-Forchheimer perturbation']
"Design and Beam Test Results for the sPHENIX Electromagnetic and
  Hadronic Calorimeter Prototypes",['Performance of a prototype of the sPHENIX electromagnetic and hadronic calorimeter system']
"Quantum and classical resources for unitary design of open-system
  evolutions","[""Coherent Control of Quantum Channels via Stinespring's Dilation""]"
Causal Kinetic Equation of Non-equilibrium Plasmas,['Retarded Time Evolution Equation of the One-Particle Distribution Function in Plasmas']
"Masses of Kepler-46b, c from Transit Timing Variations",['The Transit Timing Variations of the Extrasolar Planet Kepler-46b']
Alternative thermodynamic cycle for the Stirling machine,['An alternative thermodynamic cycle for the Stirling machine']
"Analysis of Alfven Eigenmodes destabilization by energetic particles in
  Large Helical Device using a Landau-closure model","[""Modeling of Alfv' en Eigenmodes in Large Helical Devices""]"
Randomized Verblunsky Parameters in Steklov's Problem,"[""Verblunsky parameters for orthogonal polynomials on the unit circle and Steklov's problem""]"
"Multi-space Variational Encoder-Decoders for Semi-supervised Labeled
  Sequence Transduction",['Multi-Space Variational Encoder-Decoders for Semi-supervised Labeled Sequence Transduction']
Learning Certifiably Optimal Rule Lists for Categorical Data,['Efficient Optimal Rule List Construction for Interpretable Modeling']
