original_titles,generated_titles
Sampling strategies for fast updating of Gaussian Markov random fields,['Gaussian Markov Random Fields with Cut-and-Sampled Sampling']
"Noise, delocalization, and quantum diffusion in one-dimensional
  tight-binding models",['Quantum phase transition in 1D tight-binding model with white noise']
"Orbital Angular Momentum Antennas: Understanding Actual Possibilities
  Through the Aperture Antennas Theory",['OAM antennas in far-field links: limitations and operators']
Hypercube LSH for approximate near neighbors,['Nearest neighbor searching with hypercube locality-sensitive hashing']
"Predicting Electronic Structure Properties of Transition Metal Complexes
  with Neural Networks",['Predicting Quantum Properties of Transition Metal Complexes using Artificial Neural Networks']
Data-driven polynomial ridge approximation using variable projection,['A Gauss-Newton Method for Finding Polynomial Ridge Approximations']
Routes Obey Hierarchy in Complex Networks,['Routing in Complex Networks: A Topological Analysis of Operational Paths']
Variational Problems for Foppl-von Karman plates,['Variational problems for a Foppl-von Karman plate subject to general equilibrated loads']
Parent Oriented Teacher Selection Causes Language Diversity,['An evolutionary model for emergence of language diversity']
Probing the Shape of a Graphene Nanobubble,['Universal Shape Behavior of Graphene Nanobubbles']
"The Twist of the Draped Interstellar Magnetic Field Ahead of the
  Heliopause: A Magnetic Reconnection Driven Rotational Discontinuity",['Twisting of the Interstellar Magnetic Field across the Heliopause Driven by Reconnection']
"Demystifying Fog Computing: Characterizing Architectures, Applications
  and Abstractions","['A Survey of Edge, Fog and Cloud Architectures and Applications']"
Network support of talented people,['Network support of talented people in Hungary']
"Scalable computation for optimal control of cascade systems with
  constraints",['A Distributed Method for Solving Cascade Linear Optimal Control Problems']
"Comprehensive Data Set for Automatic Single Camera Visual Speed
  Measurement",['Video Camera Calibration and Vehicle Speed Measurement for Visual Traffic Surveillance']
Sweeping Processes Perturbed by Rough Signals,['Sweeping processes with finite $p$-variation']
"Neural Multi-Step Reasoning for Question Answering on Semi-Structured
  Tables",['Neural Reasoning for Multi-Step Reasoning on Semi-Structured Tables']
"Stoner factors of doped 122 Fe-based superconductors: First principles
  results",['Evolution of Stoner factor with doping concentration in Fe-based superconductors']
Improving a Strong Neural Parser with Conjunction-Specific Features,['Improving the Coordination Construction of Dependency Parsers']
Dialectometric analysis of language variation in Twitter,['Dialectometric Analysis of Geographic Language Variation Using Twitter Corpora']
"Molecular Dynamics Simulations Indicate that Deoxyhemoglobin,
  Oxyhemoglobin, Carboxyhemoglobin, and Glycated Hemoglobin under Compression
  and Shear Exhibit an Anisotropic Mechanical Behavior",['Anisotropic Mechanical Behavior of Hemoglobin under Compression and Shear Loading']
"Fast Algorithms for Designing Multiple Unimodular Waveforms With Good
  Correlation Properties",['Fast Algorithms for Designing Unimodular Waveforms with Good Correlation Properties']
"Accelerating Dark Energy Cosmological Model in Two Fluid with Hybrid
  Scale Factor",['Anisotropic Accelerating Universe in General Relativity with Hybrid Scale Factor']
Enhancing speed and scalability of the ParFlow simulation code,['Improving Scalability of ParFlow using Parallel Adaptive Mesh Partitioning']
"The perimeter cascade in critical Boltzmann quadrangulations decorated
  by an $O(n)$ loop model","[""Critical $O(n)$ model on random quadrangulations and L'evy processes""]"
"High dimensional deformed rectangular matrices with applications in
  matrix denoising",['On the recovery of low rank matrices from its observation']
Data-Driven Fuzzy Modeling Using Deep Learning,['Data-Driven Fuzzy Modeling using Restricted Boltzmann Machine and Probability based Clustering']
"State Sum Invariants of Three Manifolds from Spherical Multi-fusion
  Categories",['State sum invariants of 3-manifolds from spherical multi-fusion categories']
"Cross Section Prediction for Inclusive Production of Z Boson in $pp$
  Collisions at $\sqrt{s}$$=14$ TeV: A Study of Systematic Uncertainty Due to
  Scale Dependence",['Total Inclusive Cross Section for $Zrightarrow l+l-$ Production at $sqrts$=14 TeV']
"Slow to fast infinitely extended reservoirs for the symmetric exclusion
  process with long jumps",['Reaction-diffusion equations for an exclusion process in contact with a large number of reservoirs']
On the Properties of the Power Systems Nodal Admittance Matrix,['The Nodal Admittance Matrix of Connected AC Power Networks']
Computing and Using Minimal Polynomials,['Computing Minimal Polynomials']
On Store Languages of Language Acceptors,['On Store Languages of Pushdown Automata']
Continuous-Time Visual-Inertial Odometry for Event Cameras,['Continuous-Time Visual-Inertial Odometry with Event Cameras']
Building Usage Profiles Using Deep Neural Nets,['Extracting Software Usage Information from Video Tutorials using Deep Learning']
Strongly-Typed Agents are Guaranteed to Interact Safely,['Strongly-Typed Agents are Guaranteed to Interact Safely']
PairClone: A Bayesian Subclone Caller Based on Mutation Pairs,['PairClone: Subclone Reconstruction from Next-Generation Sequencing Data']
Renyi Differential Privacy,['Renyi Differential Privacy']
"SIFM: A network architecture for seamless flow mobility between LTE and
  WiFi networks - Analysis and Testbed Implementation",['SIFM: Seamless Internetwork Flow Mobility for LTE and WiFi Networks']
"Non-invasive Scanning Raman Spectroscopy and Tomography for Graphene
  Membrane Characterization",['Raman Tomography of Graphene Membranes']
Compression with the tudocomp Framework,['A Framework for Implementation and Comparison of Text Compression Algorithms']
"A space-time finite element method for neural field equations with
  transmission delays",['Space-Time dGcG-FEM for Neural Field Equations with Transmission Delays']
Fully packed loop configurations: polynomiality and nested arches,['Fully packed loops and wheel polynomials']
Automatic segmentation of trees in dynamic outdoor environments,['Image Segmentation in Dynamic Outdoor Environments using Superpixels and Color Distribution']
"Probing QCD critical fluctuations from light nuclei production in
  relativistic heavy-ion collisions",['Light nuclei yield ratio as a probe of the QCD critical fluctuations']
"Inertia-Constrained Pixel-by-Pixel Nonnegative Matrix Factorisation: a
  Hyperspectral Unmixing Method Dealing with Intra-class Variability",['Inertia-constrained Pixel-by-Pixel Blind Source Separation']
Truthful Mechanisms for Delivery with Mobile Agents,['Truthful Mechanisms for Delivering Physical Objects with Private Weighted Mobile Agents']
"On problems equivalent to (min,+)-convolution","['On the (min,+)-convolution problem']"
"Topological complexity of classical configuration spaces and related
  objects",['Topological complexity of classical configuration spaces']
Generalized Knudsen Number for Unsteady Fluid Flow,['Kinetic description of an unsteady flow in a gas']
Adaptive Neural Networks for Efficient Inference,['Adaptively Utilizing Deep Neural Networks for Efficient Classification']
"K\""ahler forms for families of Calabi-Yau manifolds","['K""ahler-Einstein metrics and Ricci flatness']"
Contractibility for Open Global Constraints,['Contractibility of Open Global Constraints']
Learning Deep NBNN Representations for Robust Place Categorization,['Semantic Place Categorization using Local Deep Representations']
"Polariton condensation in photonic crystals with high molecular
  orientation",['Frenkel exciton-polariton Bose-Einstein condensation in a defect-free triangular photonic crystal']
"Dense holomorphic curves in spaces of holomorphic maps and applications
  to universal maps",['Dense holomorphic curves in Stein spaces and universal functions']
Unravelling the Dodecahedral Spaces,['On the hyperbolic dodecahedral space with a natural cubulation']
"The metric dimension of the circulant graph $C(n,\pm\{1,2,3,4\})$","['Metric dimension of circulant graphs $C(n,pm1,2,3,4)$']"
"dotCall64: An Efficient Interface to Compiled C/C++ and Fortran Code
  Supporting Long Vectors",['dotCall64: Calling Compiled C/C++ and Fortran Code with Long Vectors']
"A Critical Improvement On Open Shop Scheduling Algorithm For Routing In
  Interconnection Networks",['An Improved Hybridic Scheduling Algorithm for Message Packets in Interconnection Networks']
"RDCL 3D, a Model Agnostic Web Framework for the Design and Composition
  of NFV Services",['RDCL 3D: A Model Agnostic Web Framework for NFV Components and Services']
"Sequential Discrete Kalman Filter for Real-Time State Estimation in
  Power Distribution Systems: Theory and Implementation",['Feasibility of Real-Time State Estimators for Active Distribution Networks in FPGAs']
"On the molecules of numerical semigroups, Puiseux monoids, and Puiseux
  algebras",['Molecules of Puiseux monoids and their semigroup algebras']
The Long-Moody construction and polynomial functors,['Long-Moody functors and strong polynomial functors']
Invariance principle via orthomartingale approximation,['Orthomartingale-coboundary decomposition of random fields']
Multimodal Clustering for Community Detection,['Object-attribute biclustering for mining multi-mode communities']
"Probing the Quantum States of a Single Atom Transistor at Microwave
  Frequencies",['GHz excitations in an all epitaxial single atom transistor']
"Observations of M31 and M33 with the Fermi Large Area Telescope: a
  galactic center excess in Andromeda?",['Revisiting the Fermi-LAT Gamma-Ray Emission in the Direction of M31']
Titan's Atmosphere and Climate,"[""Titan's Atmosphere and Climate""]"
Bridging Finite and Super Population Causal Inference,['Bridging Finite and Super Population Causal Inference']
Selective Video Object Cutout,['Uncertainty Propagation Based Structured Confidence Map for Video Segmentation']
"Stepping Forward with Exoskeletons: Team IHMC's Design and Approach in
  the 2016 Cybathlon",['Team IHMC at the 2016 Cybathlon Powered Exoskeleton Competition']
Improving the Neural GPU Architecture for Algorithm Learning,['Deep Algorithm Synthesis on the Neural GPU']
"A Globally Linearly Convergent Method for Pointwise Quadratically
  Supportable Convex-Concave Saddle Point Problems",['PAPC for nonsmooth structured convex-concave saddle point problems']
"Central Moment Discrepancy (CMD) for Domain-Invariant Representation
  Learning",['Central Moment Discrepancy (CMD) for Learning Domain-Invariant Representations']
The CKM Parameters,['The CKM Matrix: Experimental Constraints and Theoretical Inputs']
A Useful Solution of the Coupon Collector's Problem,"[""The Coupon Collector's Problem als Solviertes Problem""]"
Minimax density estimation for growing dimension,['Minimax Rates for Kernel Density Estimation']
"Context-Sensitive Super-Resolution for Fast Fetal Magnetic Resonance
  Imaging",['Context-Sensitive Upsampling for Fast Fetal MRI']
"Motion of Massive Particles in Rindler Space and the Problem of Fall at
  the Centre",['Massive Particle Motion in Rindler Space and Fall at the Center']
Minimal models of quantum homotopy Lie algebras via the BV-formalism,['Minimal Model of Quantum L-infinity-algebra']
"SARAH: A Novel Method for Machine Learning Problems Using Stochastic
  Recursive Gradient",['A Stochastic Recursive Gradient Method for Finite-Sum Minimization']
"Remote Sensing Image Scene Classification: Benchmark and State of the
  Art",['A Benchmark Dataset for Remote Sensing Image Scene Classification']
The descriptive look at the size of subsets of groups,['On the Borel complexity of some basic sets and applications to the Stone-vCech compactification']
"Frequency patterns of semantic change: Corpus-based evidence of a
  near-critical dynamics in language change",['Genericity and latency phases of semantic change']
Spin-Momentum Locking in the Near Field of Metal Nanoparticles,['Spin-momentum locking in the near-field of localized surface resonances']
"Fractional div-curl quantities and applications to nonlocal geometric
  equations",['Fractional div-curl quantities and the theory of fractional harmonic maps']
"Parabolic equations with natural growth approximated by nonlocal
  equations",['Nonlocal equations on bounded sets with nonlocal boundary condition']
"Time-Resolved and Temperature Tuneable Measurements of Fluorescent
  Intensity using a Smartphone Fluorimeter",['Temperature dependence of smartphone fluorescence intensity measurements in dye complexes with Zn ion']
"Probing the Broad Line Region and the Accretion Disk in the Lensed
  Quasars HE0435-1223, WFI2033-4723, and HE2149-2745 using Gravitational
  Microlensing",['Microlensing magnification in the broad emission lines of three gravitationally lensed quasars']
"Preserving Differential Privacy Between Features in Distributed
  Estimation",['PriDE: Distributed Differential Privacy for Vertically-Partitioned Data']
Multidimensional Sampling of Isotropically Bandlimited Signals,['Multidimensional Optimal Sampling and Reconstruction: Exact Lower Bound and Two Optimality Criteria']
Geohyperbolic Routing and Addressing Schemes,['Optimal Routing Scalability in Overlay Networks with Local Addressing Schemes']
"Visualizing Strain-induced Pseudo magnetic Fields in Graphene through an
  hBN Magnifying Glass",['Strain induced pseudo-magnetic field in graphene on nano-pillars']
Remembering Victor Petrovich Havin,['Remembering V. P. Havin']
Hyperbolic and Semi-Hyperbolic Surface Codes for Quantum Storage,['Hyperbolic Surface Codes for Overhead-Efficient Quantum Storage']
Distributed Bayesian Matrix Factorization with Limited Communication,['Distributed Bayesian Matrix Factorization']
Some fixed-circle theorems on metric spaces,['Fixed circles of self-mappings on metric spaces']
How Complex Is a Fractal? Head/tail Breaks and Fractional Hierarchy,['A Fractional Ht-Index to Measure the Scaling Hierarchy of Fractals']
Learning the Structure of Generative Models without Labeled Data,['Structure Estimation Without Labeled Data']
"Second order necessary and sufficient optimality conditions for singular
  solutions of partially-affine control problems",['Necessary and Sufficient Optimality Conditions for Affine Control Problems with Nonlinear Relationships']
"Global and Local Multiple SLEs for $\kappa \leq 4$ and Connection
  Probabilities for Level Lines of GFF","['Multiple Schramm-Loewner evolutions, crossing probabilities and Gaussian free fields']"
"Analytical structure, dynamics, and coarse-graining of a kinetic model
  of an active fluid",['Active nematic fluids: dynamics of Extensor suspensions']
ASAP: Prioritizing Attention via Time Series Smoothing,['ASAP: Attention-Aware Smoothing of Stream Time Series']
Active Learning for Cost-Sensitive Classification,['Active Learning for Cost-Sensitive Multiclass Classification']
"A high-resolution programmable Vernier delay generator based on carry
  chains in FPGA",['Architecture of High-Resolution Delay Generator Based on Dedicated Carry Chains']
"On the Security of Warning Message Dissemination in Vehicular Ad Hoc
  Networks",['On the Security of Message Dissemination in Vehicular Ad Hoc Networks']
Arbitrary-Oriented Scene Text Detection via Rotation Proposals,['Arbitrary-Oriented Scene Text Detection via Rotation Region Proposal Networks']
"Zero-Delay Source-Channel Coding with a One-Bit ADC Front End and
  Correlated Side Information at the Receiver",['Zero-delay transmission of a Gaussian source over an additive white Gaussian noise channel']
"$O(N)$ Iterative and $O(NlogN)$ Fast Direct Volume Integral Equation
  Solvers with a Minimal-Rank ${\cal H}^2$-Representation for Large-Scale $3$-D
  Electrodynamic Analysis",['Linear-Complexity Iterative and Log-Linear Complexity Direct Volume Integral Equation Operators for Large-Scale Electrodynamic Analysis']
"Vanishing Viscosity Limit for Incompressible Viscoelasticity in Two
  Dimensions",['Global well-posedness of incompressible viscoelasticity in the inviscid limit']
"Learning Identifiable Gaussian Bayesian Networks in Polynomial Time and
  Sample Complexity",['Learning Sparse Gaussian Bayesian Networks in Polynomial Time']
Contextuality in Canonical Systems of Random Variables,['Canonical Representation of Contextuality in Random Variables']
Desertification by Front Propagation?,['Transitions in dryland vegetation to bare soil are not abrupt']
"Efficient Second Order Unconditionally Stable Schemes for a Phase-field
  Moving Contact Line Model Using Invariant Energy Quadratization Approach",['Energy stable second order approximations for a phase field model consisting of the Navier-Stokes and Cahn-Hilliard equations']
On the vDVZ discontinuity in massive conformal gravity,['On the vDVZ discontinuity of linearized massive conformal gravity']
Resonances for obstacles in hyperbolic space,['Resonances of star-shaped obstacles']
Approximation of Entropy Numbers,['Approximation of Entropy Numbers of Operators on Spaces of p-summable Sequences']
Minimizing Latency for Secure Distributed Computing,['Delay Reduction for Secure Coded Master Servers']
"Spatial coherence of electron beams from field emitters and its effect
  on the resolution of imaged objects",['Application of the van Cittert Zernike theorem to coherent high-coherence electron sources']
"Three-dimensional surface topography of graphene by divergent beam
  electron diffraction",['Direct imaging of the three-dimensional surface topography of crystalline materials using divergent beam electron diffraction']
"A Certified Model Reduction Approach for Robust Parameter Optimization
  with PDE Constraints",['Certified Reduced Order Modeling for Robust Non-Linear Optimization with Parameter Uncertainties']
Hydrodynamic turbulence in quasi-Keplerian rotating flows,['Stability of Quasi-Keplerian Rotating Flow']
"Position-based coding and convex splitting for private communication
  over quantum channels",['Position-based coding and convex splitting lower bound on the private classical capacity of a quantum channel']
Proceedings of the Ninth Workshop on Methods for Modalities,['Proceedings of the 9th Workshop on Methods for Modalities']
"Damping dependence of spin-torque effects in thermally assisted
  magnetization reversal",['Magnetization reversal time of spin-polarized current driven nanomagnets']
Scalar and vector Galileons,['General Galileon Actions']
"Mutation supply and the repeatability of selection for antibiotic
  resistance",['Repeatability of evolution: the effect of mutation supply and selective pressure']
"Generalizing CoSaMP to Signals from a Union of Low Dimensional Linear
  Subspaces",['General Guarantees for Signals from a Union of Low-Dimensional Linear Subspaces']
Stable dynamics of micro-machined inductive contactless suspensions,['Qualitative dynamics and stability analysis of micro-machined inductive contactless suspensions']
Parylene-C microfibrous thin films as phononic crystals,['Parylene-C microfibrous thin films as phononic crystals']
Transiting Planets with LSST III: Detection Rate per Year of Operation,['Transiting Planets Observed with the Large Synoptic Survey Telescope']
"Accelerating gravitational wave parameter estimation with multi-band
  template interpolation",['Accelerating Parameter Estimation with Sparse Chirping of Gravitational Wave Signals']
Network Structure and Naive Sequential Learning,['Sequential learning in naive Gaussian networks']
Theory Morphisms in Church's Type Theory with Quotation and Evaluation,"[""Theory Morphisms in Church's Type Theory""]"
"Contextual Motifs: Increasing the Utility of Motifs using Contextual
  Data",['Contextual Motifs: Improving Motif Inference for Physiological Waveform Prediction']
Space-efficient K-MER algorithm for generalized suffix tree,['Memory efficient construction of generalized suffix trees']
"Ultrarelativistic generalized Lorentzian thermodynamics and the
  differential cosmic ray energy flux",['Ultrarelativistic generalized Lorentzian quasi-equilibrium thermodynamics and the cosmic ray energy spectrum']
"Magnetic field induced strong valley polarization in the three
  dimensional topological semimetal LaBi",['LaBi: a three-dimensional rocksalt with a quasi-two-dimensional electronic structure']
"On a class of generating vector fields for the extremum seeking problem:
  Lie bracket approximation and stability properties",['Control functions and stability for extremum seeking problems']
"Tunneling of Massive/Massless Bosons From the Apparent Horizon of FRW
  Universe","[""Tunneling of vector particles from the apparent horizon in Painlev'e spacetime""]"
"Upper Bound For The Ratios Of Eigenvalues Of Schrodinger Operators With
  Nonnegative Single-Barrier Potentials","['An optimal upper bound for the monotonicity of the modified Pr""ufer angle function']"
"On zeros of the characteristic polynomial of matroids of bounded
  tree-width",['Zeros of the characteristic polynomials of matroids of bounded tree-width']
"Manipulating low-dimensional materials down to the level of single atoms
  with electron irradiation",['Single-atom manipulation with scanning transmission electron microscopy']
"Graph of Virtual Actors (GOVA): a Big Data Analytics Architecture for
  IoT",['Graph of Virtual Actors (GOVA): A Big Data Analytics Architecture for Internet of Things']
"Energy-Aware Disk Storage Management: Online Approach with Application
  in DBMS",['Dynamic Power Management Integrated with Model Predictive Control for Efficient Query Response Time and Energy-Efficient Disk Storage']
Customer Lifetime Value Prediction Using Embeddings,['Customer Lifetime Value Prediction using Machine Learning']
"Spot dynamics in a reaction-diffusion model of plant root hair
  initiation",['Pattern formation in a 2-D reaction-diffusion system characterizing the effect of a spatial gradient of plant hormone on root hair initiation']
Absence of chaos in Digital Memcomputing Machines with solutions,['On the Coexistence of Strange Attractors and Dissipation in Digital Memcomputing Machines']
Structural Data Recognition with Graph Model Boosting,['Structural Data Recognition Using Graph Model Boosting']
"ceRNA crosstalk stabilizes protein expression and affects the
  correlation pattern of interacting proteins",['Competition-induced crosstalk between mRNAs can stabilize protein levels and alter correlation patterns in cells']
Statistical Inference in Political Networks Research,['Inferential Network Analysis: A Review of Methods and Applications']
"A Hybrid Deep Learning Architecture for Privacy-Preserving Mobile
  Analytics",['Siamese Fine-Tuning for Privacy-Preserving Deep Learning on IoT Devices']
"On Kinetic Slow Modes, Fluid Slow Modes, and Pressure-balanced
  Structures in the Solar Wind",['On the Kinetic Slow Modes of Anisotropic Solar-Wind Turbulence']
A major-index preserving map on fillings,['Major-index-preserving combinatorial models and charge']
Coordinated Multi-Agent Imitation Learning,['Imitation Learning with Latent Coordinating Agents']
"Orthogonal Transform Multiplexing with Memoryless Nonlinearity: a
  Possible Alternative to Traditional Coded-Modulation Schemes",['Joint Coding-Modulation Using Orthogonal Linear Transform with Memoryless Nonlinearity']
"Oriented Graphene Nanoribbons Embedded in Hexagonal Boron Nitride
  Trenches",['Embedding of Graphene Nanoribbons on Hexagonal Boron Nitride Substrates by Chemical Vapour Deposition']
Fractional compound Poisson processes with multiple internal states,['Dynamics of anomalous diffusions with different internal states']
A Test of the Neutron Star Hypothesis for Fomalhaut b,['Can Chandra Detect X-ray Emission from Fomalhaut b?']
"Topology optimization of broadband hyperbolic elastic metamaterials with
  super-resolution imaging",['Inverse-design hyperbolic elastic metamaterials supporting multipolar resonances']
Fast Genetic Algorithms,['Fast Genetic Algorithms']
What can you do with a rock? Affordance extraction via word embeddings,['Affordance Extraction and Action Selection in Reinforcement Learning']
"On Optimizing Feedback Interval for Temporally Correlated MIMO Channels
  With Transmit Beamforming And Finite-Rate Feedback",['Feedback Interval Optimization in Point-to-Point MIMO']
Kibble-Zurek mechanism in curved elastic surface crystals,['Scaling laws for topological defect formation in curved elastic surface crystals']
"Stability of Correction Procedure via Reconstruction With
  Summation-by-Parts Operators for Burgers' Equation Using a Polynomial Chaos
  Approach","[""Correction procedure via reconstruction for Burgers' equation""]"
"Direct Application of the Phase Estimation Algorithm to Find the
  Eigenvalues of the Hamiltonians",['Using the Hamiltonian Matrix Directly in the Phase Estimation Algorithm']
The Densest Subgraph Problem with a Convex/Concave Size Function,['On the Size Issue of the Densest Subgraph Problem']
Galois descent of semi-affinoid spaces,['Galois Descent of Semi-Affinoid Non-Archimedean Analytic Spaces']
Quantum reading capacity: General definition and bounds,['Quantum Reading Capacity']
On monoids in the category of sets and relations,['Lax monoids in the category $mathbfRel$']
"Structural characterization of carbon nanotubes via the vibrational
  density of states",['Determining the Structure of Carbon Nanotubes from Vibrational Density of States']
Integer Factorization with a Neuromorphic Sieve,['Integer Factorization with a Neuromorphic Sieve']
Global and Brazilian carbon response to El Ni\~{n}o Modoki 2011-2010,['The Spatially Resolved Carbon Response to El Nino Modoki in 2010']
A new integrated symmetrical table for genetic codes,['A Symmetrical Table for Genetic Codes']
The 4-girth-thickness of the complete graph,['The 4-girth-thickness of a complete graph']
"Development of An Android Application for Object Detection Based on
  Color, Shape, or Local Features","['Android Object Detection and Recognition Application Based on Color, Shape, or Local Features']"
"Automated target tracking in kilovoltage images using dynamic templates
  of fiducial marker clusters",['Automated tracking of fiducial marker clusters in pancreatic cancer x-ray images']
Fractional Sobolev inequalities associated with singular problems,['Sobolev inequalities associated with singular problems for fractional $p$-Laplacian operators']
Learning Large-Scale Bayesian Networks with the sparsebn Package,['Sparsebn: An R Package for Learning Large-Scale Bayesian Networks']
"Consistency, non triviality and redundancy in mathematics","['Consistency, non-triviality and redundancy criteria in mathematical research']"
Local Patch Encoding-Based Method for Single Image Super-Resolution,['Super-Resolution based on Local Patch Encoding']
"Robustness from structure: Inference with hierarchical spiking networks
  on analog neuromorphic hardware",['Spiking networks on analog neuromorphic substrates for physical implementation']
"Precision cosmology from future lensed gravitational wave and
  electromagnetic signals",['Gravitational wave cosmography with precise time delays']
Canvas and Cosmos: Visual Art Techniques Applied to Astronomy Data,['Visual Art and Science for Astronomy Research: Is It Relevant or Artistic?']
Jacobi polynomials on the Bernstein ellipse,['Jacobi polynomials on the Bernstein ellipse']
"Poisson multi-Bernoulli mixture filter: direct derivation and
  implementation",['Poisson multi-Bernoulli mixture filter for tracking multi-target data']
Features in single field slow-roll inflation,['Effects of Local and Branch Features on the Spectrum of Primordial Perturbations']
Bayesian Optimization with Gradients,['Derivative-enabled Knowledge-Gradient for Global Optimization of Multimodal Objective Functions']
Extremal Behavior of Long-Term Investors with Power Utility,['Long-term behavior of optimal strategies in Bayesian markets with power utility']
"A Lagrangian Gauss-Newton-Krylov Solver for Mass- and
  Intensity-Preserving Diffeomorphic Image Registration",['Efficient Hyperbolic Optimal Control for Large-Deformation Diffeomorphic Image Registration']
Cyclic contractions of dimer algebras always exist,['Cancellation of nondegenerate dimers on a torus']
"Social Fingerprinting: detection of spambot groups through DNA-inspired
  behavioral modeling",['Spambot Detection in Online Social Networks via Digital DNA Analysis']
Multi-Patch and Multi-Group Epidemic Models: A New Framework,['Multi-Patch and Multi-Group Modeling of Epidemic Dynamics: Effects of Mobility Patterns and Heterogeneity']
"Fully Convolutional Neural Networks to Detect Clinical Dermoscopic
  Features",['Superpixels for Dermoscopic Feature Classification: A Deep Convolutional Neural Network Approach']
Space-time CFTs from the Riemann sphere,['Anomalies in 2D Chiral First-Order Conformal Field Theories']
Polytropic spheres containing regions of trapped null geodesics,['Polytropic spheres as trapping polytropes in general relativity']
"Adaptive Restart of the Optimized Gradient Method for Convex
  Optimization",['Adaptive Restart Acceleration of the Optimized Gradient Method']
A Noninformative Prior on a Space of Distribution Functions,['Priors with approximately invariant and infinite-dimensional invariance']
"On Convergence of Extended Dynamic Mode Decomposition to the Koopman
  Operator",['Convergence of Extended Dynamic Mode Decomposition to the Action of the Koopman Operator']
"Tracking Gaze and Visual Focus of Attention of People Involved in Social
  Interaction",['Tracking Gaze and Visual Focus of Attention in Multiparty Social Interactions']
"Task allocation and site fidelity jointly influence foraging regulation
  in honey bee colonies",['The joint impact of task distribution and behavioral persistence on the trade-off between exploring for new resources and exploiting familiar ones']
Thermotronics: toward nanocircuits to manage radiative heat flux,['Heat flux control in complex architecture networks']
"Visual end-effector tracking using a 3D model-aided particle filter for
  humanoid robot platforms",['Bayesian End-Effect Estimation with Vision and CAD Filtering']
"Waveform measurement of charge- and spin-density wave packets in a
  Tomonaga-Luttinger liquid",['Spin-Charge Separation and Controlled Electron Dynamics in a Tomonaga-Luttinger Liquid']
"Infinitely many excluded minors for frame matroids and for
  lifted-graphic matroids",['Excluded minors for matroids']
Power sums in hyperbolic Pascal triangles,['Power sums of rows in hyperbolic Pascal triangles']
"Equilibrated flux a posteriori error estimates in $L^2(H^1)$-norms for
  high-order discretizations of parabolic problems",['Guaranteed upper bounds for the $L2(H1)$-norm of an a posteriori error analysis of finite element methods for parabolic problems']
Neural Programming by Example,['Neural Programming by Example']
"On the Importance of Super-Gaussian Speech Priors for Machine-Learning
  Based Speech Enhancement",['Super-Gaussian Priors for Single-Channel Speech Enhancement']
Fonduer: Knowledge Base Construction from Richly Formatted Data,['Fonduer: A Knowledge Base Construction System for Richly Formatted Data']
A Motif-based Approach for Identifying Controversy,['Detecting Controversy in Social Media Using Network Motifs']
"Analytical Model of One-Dimensional Ballistic Schottky-Barrier
  Transistors",['Analytical model for Schottky-Barrier one-dimensional ballistic transistors']
"Multi-fluid Approach to High-frequency Waves in Plasmas. II.
  Small-amplitude Regime in Partially Ionized Media","[""Alfv'en wave damping in partially ionized solar atmospheres by momentum transfer collisions""]"
"Automatic skin lesion segmentation with fully
  convolutional-deconvolutional networks",['Skin Lesion Analysis Towards Melanoma Detection - Part II: Lesion Segmentation']
"The Faa di Bruno Hopf algebra for multivariable feedback recursions in
  the center problem for higher order Abel equations","[""Feedback control and combinatorial Hopf algebras for Poincare's center problem""]"
"A distributed primal-dual algorithm for computation of generalized Nash
  equilibria with shared affine coupling constraints via operator splitting
  methods",['A Distributed Primal-Dual Algorithm for Generalized Nash Equilibrium Computation in Noncooperative Games over Network Systems']
"Uniqueness and Nondegeneracy of positive solutions to Kirchhoff
  equations and its applications in singular perturbation problems",['Solution of Kirchhoff equations with singularities via reduction method and applications']
"Stabilizing switching signals: a transition from point-wise to
  asymptotic conditions",['Stabilizing Switching Signals for Switched Systems: A Unified Approach']
"Approximation of full-boundary data from partial-boundary electrode
  measurements",['Approximate full-boundary data from partial-boundary measurements in electrical impedance tomography']
Anisotropic-Scale Junction Detection and Matching for Indoor Images,['Anisotropic-Scale Junctions for Indoor Image Matching']
"Graphene photodetectors with a bandwidth larger than 76 GHz fabricated
  in a 6 inch wafer process line",['Scalable Ultrafast Graphene Photodetectors']
"Low-rank computation of posterior covariance matrices in Bayesian
  inverse problems",['Low-rank Hessian Method for Bayesian Inverse Problems with Gaussian Prior']
"Newly-Discovered Anomalies in Galactic Cosmic Rays: Time for Exotic
  Scenarios?",['Anomalies in Cosmic Rays from Supernova Remnants']
Proceedings 2nd Workshop on Models for Formal Analysis of Real Systems,['Proceedings 2nd Workshop on Models for Formal Analysis of Real Systems']
"Mitochondrial oxidative phosphorylation: Debunking the concepts of
  electron transport chain, proton pumps, chemiosmosis and rotary ATP synthesis",['Debunking hypotheses that explain mitochondrial oxidative phosphorylation']
"Equivariant prequantization bundles on the space of connections and
  characteristic classes",['Equivariant prequantization bundles determined by characteristic classes']
Some non-special cubic fourfolds,['On the Noether-Lefschetz generality of divisors in cubic fourfold moduli spaces']
Symbolic computation with monotone operators,['Monotone Operators for Symbolic Representation and Manipulation']
Spin Angular Momentum of Proton Spin Puzzle in Complex Octonion Spaces,['Spin Angular Momentum of the Proton']
"Clustering-based collocation for uncertainty propagation with
  multivariate dependent inputs",['Clustering methods for stochastic collocation with multivariate dependent input']
